"Cenario","Abordagem","Repeticao","VazaoReqS","TotalRequisicoes","LatenciaMedianaMs","LatenciaP95Ms","TaxaSucessoPct","EnviadosMB","RecebidosMB","PicoCpuPct","PicoMemoriaMB"
"frio","REST","1","473,62","23657","14,03","32,98","100","4,83","6,66","416,34","397,6"
"frio","GraphQL","1","179,83","13897","22,23","67,81","99,98","5,47","3,17","421,82","385,41"
"frio","gRPC","1","396,14","19752","16,05","41,74","100","1,98","2,36","340,84","416,55"
"frio","REST","2","403,25","20139","17,04","38,06","100","4,11","5,67","374,16","374,44"
"frio","GraphQL","2","230,14","11467","25,86","88,97","100","4,52","2,62","470,02","387,49"
"frio","gRPC","2","380,96","18992","17,73","40,76","100","1,91","2,27","360","398,2"
"frio","REST","3","279,45","21800","15,51","35,09","99,99","4,45","6,14","381,98","384,45"
"frio","GraphQL","3","358,55","17874","19,05","48,61","100","7,04","4,08","430,17","412,57"
"frio","gRPC","3","507,99","25363","13,66","28,46","100","2,54","3,02","382,19","420,5"
"frio","REST","4","460,57","22959","13,86","34,52","100","4,69","6,46","397,43","400,27"
"frio","GraphQL","4","347,79","17334","20,85","41,59","100","6,83","3,95","453,96","392,99"
"frio","gRPC","4","313,93","15673","20,45","56,92","100","1,57","1,87","338,06","399,09"
"frio","REST","5","115,6","8148","39,2","104,77","99,98","1,66","2,29","364,52","403,65"
"frio","GraphQL","5","121,22","6051","61,28","116,93","100","2,38","1,38","440,36","385,13"
"frio","gRPC","5","512,32","25531","12,8","30,05","100","2,56","3,04","379,94","394,04"
"quente","REST","1","298,5","22040","11,66","21,03","99,97","4,5","6,2","256,85","382,07"
"quente","GraphQL","1","279,85","18812","9,97","16,03","99,94","7,4","4,29","415,72","407,57"
"quente","gRPC","1","459,24","22882","13,18","37,05","100","2,3","2,73","223,19","394,52"
"quente","REST","2","498,67","30397","11,93","20,38","100","6,2","8,56","259,23","385,59"
"quente","GraphQL","2","558,72","27890","12,2","26,62","100","10,98","6,36","392,36","413,7"
"quente","gRPC","2","589,58","29431","11,42","27,91","100","2,95","3,51","323,58","399,54"
"quente","REST","3","590,98","32534","11,4","18,88","100","6,64","9,16","348,7","384,05"
"quente","GraphQL","3","446,53","28809","11,2","21,28","99,99","11,35","6,57","391,29","404,67"
"quente","gRPC","3","591,15","29464","12,19","22,27","100","2,96","3,51","202,31","385,8"
"quente","REST","4","543,69","27294","10,95","33,22","100","5,57","7,68","312,65","391,51"
"quente","GraphQL","4","355,4","23884","11,7","32,41","99,98","9,41","5,45","369,73","400,94"
"quente","gRPC","4","656,86","32729","11,41","18,5","100","3,28","3,9","326,78","398,07"
"quente","REST","5","206,72","15170","5,91","12,82","99,9","3,09","4,27","323,19","394,93"
"quente","GraphQL","5","491,5","24533","10,4","26,28","99,99","9,66","5,6","373","428,45"
"quente","gRPC","5","626,87","31292","11,47","20,11","100","3,14","3,73","300,44","403,8"
