"Cenario","Abordagem","Metrica","N","Media","DesvioPadrao","CVPercent"
"frio","REST","Vazao media (req/s)","5","346,5","150,17","43,3"
"frio","REST","Total de requisicoes","5","19340,6","6396,96","33,1"
"frio","REST","Latencia mediana (ms)","5","19,93","10,85","54,4"
"frio","REST","Latencia p95 (ms)","5","49,08","31,18","63,5"
"frio","REST","Taxa de sucesso (%)","5","99,99","0,01","0"
"frio","REST","Trafego enviado (MB)","5","3,95","1,31","33,1"
"frio","REST","Trafego recebido (MB)","5","5,44","1,8","33,1"
"frio","REST","Pico de processador (%)","5","386,89","20,4","5,3"
"frio","REST","Pico de memoria (MB)","5","392,08","12,26","3,1"
"frio","GraphQL","Vazao media (req/s)","5","247,51","103,94","42"
"frio","GraphQL","Total de requisicoes","5","13324,6","4833,63","36,3"
"frio","GraphQL","Latencia mediana (ms)","5","29,85","17,74","59,4"
"frio","GraphQL","Latencia p95 (ms)","5","72,78","30,79","42,3"
"frio","GraphQL","Taxa de sucesso (%)","5","100","0,01","0"
"frio","GraphQL","Trafego enviado (MB)","5","5,25","1,91","36,3"
"frio","GraphQL","Trafego recebido (MB)","5","3,04","1,1","36,3"
"frio","GraphQL","Pico de processador (%)","5","443,27","19,17","4,3"
"frio","GraphQL","Pico de memoria (MB)","5","392,72","11,54","2,9"
"frio","gRPC","Vazao media (req/s)","5","422,27","86","20,4"
"frio","gRPC","Total de requisicoes","5","21062,2","4286,98","20,4"
"frio","gRPC","Latencia mediana (ms)","5","16,14","3,1","19,2"
"frio","gRPC","Latencia p95 (ms)","5","39,59","11,41","28,8"
"frio","gRPC","Taxa de sucesso (%)","5","100","0","0"
"frio","gRPC","Trafego enviado (MB)","5","2,11","0,43","20,3"
"frio","gRPC","Trafego recebido (MB)","5","2,51","0,51","20,2"
"frio","gRPC","Pico de processador (%)","5","360,21","20,85","5,8"
"frio","gRPC","Pico de memoria (MB)","5","405,68","11,97","2,9"
"quente","REST","Vazao media (req/s)","5","427,71","166,34","38,9"
"quente","REST","Total de requisicoes","5","25487","6988,49","27,4"
"quente","REST","Latencia mediana (ms)","5","10,37","2,52","24,3"
"quente","REST","Latencia p95 (ms)","5","21,27","7,43","34,9"
"quente","REST","Taxa de sucesso (%)","5","99,97","0,04","0"
"quente","REST","Trafego enviado (MB)","5","5,2","1,43","27,5"
"quente","REST","Trafego recebido (MB)","5","7,17","1,97","27,4"
"quente","REST","Pico de processador (%)","5","300,12","40,6","13,5"
"quente","REST","Pico de memoria (MB)","5","387,63","5,39","1,4"
"quente","GraphQL","Vazao media (req/s)","5","426,4","110,31","25,9"
"quente","GraphQL","Total de requisicoes","5","24785,6","3949,23","15,9"
"quente","GraphQL","Latencia mediana (ms)","5","11,09","0,91","8,2"
"quente","GraphQL","Latencia p95 (ms)","5","24,52","6,17","25,2"
"quente","GraphQL","Taxa de sucesso (%)","5","99,98","0,02","0"
"quente","GraphQL","Trafego enviado (MB)","5","9,76","1,56","16"
"quente","GraphQL","Trafego recebido (MB)","5","5,65","0,9","15,9"
"quente","GraphQL","Pico de processador (%)","5","388,42","18,41","4,7"
"quente","GraphQL","Pico de memoria (MB)","5","411,07","10,78","2,6"
"quente","gRPC","Vazao media (req/s)","5","584,74","75,48","12,9"
"quente","gRPC","Total de requisicoes","5","29159,6","3770,36","12,9"
"quente","gRPC","Latencia mediana (ms)","5","11,93","0,77","6,5"
"quente","gRPC","Latencia p95 (ms)","5","25,17","7,54","29,9"
"quente","gRPC","Taxa de sucesso (%)","5","100","0","0"
"quente","gRPC","Trafego enviado (MB)","5","2,93","0,38","12,8"
"quente","gRPC","Trafego recebido (MB)","5","3,48","0,45","12,9"
"quente","gRPC","Pico de processador (%)","5","275,26","58,43","21,2"
"quente","gRPC","Pico de memoria (MB)","5","396,35","6,77","1,7"
